Country,FDI 2016,FDI 2017,FDI 2018,FDI 2019,Region,GDP 2018,tech_export_2018 (million)
Afghanistan,0,(D),1,(*),South Asia,"$19,484,384,936.63 ",0
Albania,1,0,(*),0,Europe,"$15,147,020,535.39 ",0.5917
Angola,235,222,(D),(D),Africa,"$101,353,230,784.59 ",98.2259
Antigua and Barbuda,3,3,3,3,Central America& Caribbean,"$1,610,574,074.07 ",0.0114
Argentina,870,"1,028",822,561,South America,"$519,871,519,807.80 ",647.1724
Armenia,2,3,3,3,Asia,"$12,457,941,907.03 ",36.2933
Australia,"66,587","62,048","63,070","80,974",Pacific,"$1,433,904,348,500.12 ",5274.0798
Austria,"10,655","13,160","12,392","13,964",Europe,"$455,508,255,028.22 ",16687.4995
Azerbaijan,(D),-7,-2,-2,Asia,"$47,112,941,176.47 ",21.178
Bahamas,262,513,646,"1,089",Central America& Caribbean,"$12,424,500,000.00 ",0
Bahrain,-88,57,(D),-13,Middle East,"$37,652,500,000.00 ",11.7906
Bangladesh,(*),12,12,12,Asia,"$274,039,092,455.31 ",0
Barbados,"5,105","9,053","7,476","9,077",Central America& Caribbean,"$5,086,500,000.00 ",0
Belarus,2,4,4,4,Europe,"$60,031,262,269.34 ",716.9919
Belgium,"94,462","76,009","64,661","65,918",Europe,"$542,685,915,417.41 ",36817.018
Belize,13,12,12,12,Central America& Caribbean,"$1,871,200,000.00 ",0.0063
Benin,0,0,0,0,Africa,"$14,250,985,958.67 ",1.4087
Bhutan,0,0,0,0,Asia,"$2,446,674,102.02 ",0
Bolivia,(D),1,(D),-2,South America,"$40,287,647,901.59 ",19.56
Bosnia and Herzegovina,(*),(*),(*),(*),Europe,"$20,183,498,491.25 ",261.3793
Botswana,(*),0,0,0,Africa,"$18,663,264,705.88 ",39.4492
Brazil,"1,020",977,"2,514","4,617",South America,"$1,885,482,534,238.33 ",11096.2805
Bulgaria,(D),30,(D),(D),Europe,"$66,200,847,917.92 ",2012.7797
Cambodia,(*),5,4,4,Asia,"$24,571,753,583.49 ",164.816
Cameroon,-2,(*),0,0,Africa,"$38,694,095,650.98 ",0
Canada,"344,929","395,495","442,802","495,720",North America,"$1,716,262,621,082.22 ",31036.3169
Central African Republic,(*),(*),0,0,Africa,"$2,220,978,978.17 ",0
Chad,1,2,1,0,Africa,"$11,239,167,048.49 ",0
Chile,"2,070","1,861","2,573","2,851",South America,"$298,258,019,275.05 ",680.2768
China,"31,871","31,306","33,543","37,685",Asia,"$13,894,817,110,036.30 ",732000
Colombia,-22,-26,140,174,South America,"$333,568,926,392.59 ",606.2991
Costa Rica,-2,-137,-211,-199,Central America& Caribbean,"$60,553,901,420.09 ",1148.8317
Croatia,(D),20,19,(D),Europe,"$60,991,399,904.44 ",1011.9397
Cuba,(*),(*),(*),(*),Central America& Caribbean,"$100,023,000,000.00 ",0
Curacao 2,"1,486","1,312","1,335","1,182",Central America& Caribbean,"$3,127,908,044.69 ",0
Cyprus,"1,341",(D),323,120,Europe,"$24,961,995,748.70 ",95.7124
Czech Republic,(D),(D),(D),(D),Europe,"$244,987,409,830.53 ",36128.8372
Denmark,"18,920","18,617","20,654","23,870",Europe,"$355,675,329,085.95 ",9587.8754
Dominican Republic,(*),223,107,151,Central America& Caribbean,"$85,555,378,042.82 ",0
Ecuador,-4,27,30,48,Central America& Caribbean,"$107,562,008,000.00 ",68.401
Egypt,-115,-21,-43,1,Africa,"$250,894,760,351.23 ",125.2166
El Salvador,-17,-7,16,26,Central America& Caribbean,"$26,117,400,000.00 ",277.8486
Estonia,-5,(D),(D),-4,Europe,"$30,747,159,197.90 ",2065.3963
Ethiopia,-1,4,(D),(D),Africa,"$84,269,348,327.35 ",0
Fiji,0,0,(D),0,Pacific,"$5,536,759,653.16 ",4.7785
Finland,"6,118","6,928","14,464","14,826",Europe,"$275,893,681,355.89 ",4515.4147
France,"255,595","266,570","268,169","282,226",Europe,"$2,787,863,958,885.49 ",118000
Gambia,0,0,0,0,Africa,"$1,624,600,882.32 ",0.0062
Georgia,0,0,0,0,Europe,"$17,599,700,090.76 ",26.9503
Germany,"277,209","298,754","328,124","372,879",Europe,"$3,949,548,833,952.94 ",210000
Ghana,23,-3,-4,-1,Africa,"$65,556,464,048.15 ",50.0067
Greece,(D),850,639,(D),Europe,"$218,138,367,444.99 ",1754.802
Greenland,2,2,(D),2,Europe,"$3,051,626,389.64 ",0.488
Grenada,8,(D),8,8,Central America& Caribbean,"$1,168,696,296.30 ",0
Guatemala,2,(*),-9,9,Central America& Caribbean,"$73,118,147,808.28 ",0
Guinea,(D),(D),(D),(D),Africa,"$12,207,116,729.08 ",0
Guinea-Bissau,0,0,0,0,Africa,"$1,458,156,026.13 ",0
Guyana,(*),(*),(D),1,Africa,"$3,878,662,620.77 ",0.1604
Haiti,(D),-1,-1,-1,Central America& Caribbean,"$9,658,721,169.63 ",0
Honduras,1,-52,-80,-84,Central America& Caribbean,"$24,024,189,735.89 ",0
Hong Kong,"11,494","13,330","13,159","14,110",Asia,"$361,693,053,517.89 ",330000
Hungary,"19,381","21,932","31,730","52,360",Europe,"$157,882,912,778.25 ",18065.9217
