country_code,country_name,capital_city,lat,lng,GDP_2018 (million),tech_export_2018 (million),doing_business_2018,region,fdi_USA_2018 (million)
AFG,Afghanistan,Kabul,34.5289,69.1725,19484.384936631202,,37.1,Asia,1.0
ALB,Albania,Tiranë (Tirana),41.3275,19.8189,15147.020535386899,0.5917,66.8,Europe ,0.0
AND,Andorra,Andorra la Vella,42.5078,1.5211,3218.3160132262606,33.9135,,Europe ,0.0
ATG,Antigua and Barbuda,St. John's,17.1172,-61.8457,1610.5740740740698,0.0114,59.8,Latin America,3.0
ARG,Argentina,Buenos Aires,-34.6051,-58.4004,519871.519807795,647.1724,57.3,Latin America,822.0
ARM,Armenia,Yerevan,40.181999999999995,44.5146,12457.9419070333,36.2933,71.5,Europe ,3.0
ABW,Aruba,Oranjestad,12.524000000000001,-70.027,,2.563,,Latin America,6.0
AUS,Australia,Canberra,-35.2835,149.1281,1433904.3485001202,5274.0798,80.8,Australia,63070.0
AUT,Austria,Wien (Vienna),48.2064,16.3707,455508.25502821896,16687.4995,78.7,Europe ,12392.0
AZE,Azerbaijan,Baku,40.3777,49.891999999999996,47112.941176470595,21.178,66.8,Europe ,-2.0
BHS,"Bahamas, The",Nassau,25.0582,-77.3431,12424.5,,58.6,Latin America,646.0
BGD,Bangladesh,Dhaka,23.7104,90.4074,274039.09245530603,,41.6,Asia,12.0
BRB,Barbados,Bridgetown,13.1,-59.6167,5086.5,,57.7,Latin America,7476.0
BLR,Belarus,Minsk,53.9,27.5667,60031.262269336505,716.9919,73.6,Europe ,4.0
BEL,Belgium,Bruxelles-Brussel,50.8467,4.3499,542685.915417411,36817.018,72.2,Europe ,64661.0
BLZ,Belize,Belmopan,17.25,-88.7667,1871.2,0.0063,55.3,Latin America,12.0
BEN,Benin,Porto-Novo,6.4965,2.6036,14250.985958672703,1.4087,51.6,Africa,0.0
BMU,Bermuda,Hamilton,32.2915,-64.778,,2.9398,,Latin America,28018.0
BTN,Bhutan,Thimphu,27.4661,89.6419,2446.67410201858,,65.8,Asia,0.0
BIH,Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,20183.4984912492,261.3793,65.2,Europe ,0.0
BWA,Botswana,Gaborone,-24.6545,25.9086,18663.2647058824,39.4492,65.7,Africa,0.0
BRA,Brazil,Brasília,-15.7797,-47.9297,1885482.53423833,11096.2805,55.6,Latin America,2514.0
BFA,Burkina Faso,Ouagadougou,12.3642,-1.5383,16199.4346245768,6.5313,51.2,Africa,-1.0
BDI,Burundi,Bujumbura,-3.3822,29.3644,3036.9318181818203,2.0196,45.9,Africa,0.0
CPV,Cabo Verde,Praia,14.9215,-23.5087,1966.9833163259304,0.0,54.0,Africa,-2.0
KHM,Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,24571.753583492202,164.81599999999997,53.4,Asia,4.0
CMR,Cameroon,Yaoundé,3.8667,11.5167,38694.09565097631,,45.1,Africa,0.0
CAN,Canada,Ottawa-Gatineau,45.4166,-75.69800000000001,1716262.62108222,31036.3169,79.3,Canada,442802.0
CAF,Central African Republic,Bangui,4.3612,18.555,2220.97897817342,,32.4,Africa,0.0
TCD,Chad,N'Djaména,12.1067,15.0444,11239.1670484916,,35.5,Africa,1.0
CHL,Chile,Santiago,-33.4569,-70.6483,298258.01927504904,680.2768,72.0,Latin America,2573.0
CHN,China,Beijing,39.9075,116.3972,13894817.1100363,732000.0,65.2,Asia,33543.0
COL,Colombia,Bogotá,4.6097,-74.0818,333568.926392586,606.2991,69.0,Latin America,140.0
COM,Comoros,Moroni,-11.7022,43.2551,1178.53075772328,0.0287,46.9,Africa,0.0
CRI,Costa Rica,San José,9.9278,-84.0807,60553.901420085,1148.8317,69.3,Latin America,-211.0
CIV,Cote d'Ivoire,Yamoussoukro,6.8206,-5.2767,57724.73136476691,78.7897,53.0,Africa,0.0
HRV,Croatia,Zagreb,45.8144,15.978,60991.399904443395,1011.9397,72.6,Europe ,19.0
CUB,Cuba,La Habana (Havana),23.1195,-82.3785,100023.0,,,Latin America,0.0
