Country,NY.GDP.MKTP.CD,GDP_2018 (million)
ARB,2772024698688.2,2772024.6986882
CSS,73459161488.8303,73459.1614888303
CEB,1637174686382.25,1637174.68638225
EAR,11635200936633.1,11635200.936633099
EAS,26346980787877.3,26346980.787877303
EAP,16593031497791.3,16593031.497791301
TEA,16561372326182.9,16561372.3261829
EMU,13662048991923.3,13662048.9919233
ECS,23105421234343.9,23105421.234343898
ECA,3184989576029.94,3184989.57602994
TEC,4074722030848.49,4074722.03084849
EUU,15931983317841.6,15931983.317841599
FCS,1676740423840.61,1676740.42384061
HPC,745528727084.658,745528.727084658
HIC,54574650450669.0,54574650.450669
IBD,30821282524044.9,30821282.524044897
IBT,33035768862505.1,33035768.8625051
IDB,962649105344.234,962649.105344234
IDX,1260847205384.69,1260847.2053846898
IDA,2221038662745.08,2221038.66274508
LTE,22514073510410.6,22514073.510410603
LCN,5816094715343.34,5816094.71534334
LAC,5219475893094.71,5219475.89309471
TLA,5574628171203.3,5574628.171203299
LDC,1066997465485.29,1066997.46548529
LMY,31819618124575.5,31819618.1245755
LIC,509033861008.984,509033.86100898404
LMC,6003685053983.65,6003685.05398365
MEA,3613740164271.21,3613740.16427121
MNA,,
TMN,,
MIC,31293056688091.5,31293056.6880915
NAC,22251966397055.4,22251966.3970554
INX,,
OED,53106298036378.5,53106298.0363785
OSS,450095668151.361,450095.668151361
PSS,10379816021.3269,10379.8160213269
PST,50195052422344.6,50195052.4223446
PRE,1332366066557.61,1332366.0665576102
SST,533934645661.518,533934.645661518
SAS,3446629610783.08,3446629.61078308
TSA,3446629610783.08,3446629.61078308
SSF,1713887508951.01,1713887.50895101
SSA,1698100832536.87,1698100.8325368701
TSS,1713887508951.01,1713887.50895101
UMC,25289258609173.2,25289258.6091732
WLD,86357073448746.2,86357073.4487462
AFG,19484384936.6312,19484.3849366312
ALB,15147020535.3869,15147.0205353869
DZA,173757952824.25,173757.95282425
ASM,636000000.0,636.0
AND,3218316013.22626,3218.31601322626
AGO,101353230784.594,101353.230784594
ATG,1610574074.07407,1610.57407407407
ARG,519871519807.795,519871.519807795
ARM,12457941907.0333,12457.9419070333
ABW,,
AUS,1433904348500.12,1433904.3485001202
AUT,455508255028.219,455508.255028219
AZE,47112941176.4706,47112.941176470595
BHS,12424500000.0,12424.5
BHR,37652500000.0,37652.5
BGD,274039092455.306,274039.092455306
BRB,5086500000.0,5086.5
BLR,60031262269.3365,60031.262269336505
BEL,542685915417.411,542685.915417411
BLZ,1871200000.0,1871.2
BEN,14250985958.6727,14250.985958672702
BMU,,
BTN,2446674102.01858,2446.67410201858
BOL,40287647901.5919,40287.6479015919
BIH,20183498491.2492,20183.4984912492
BWA,18663264705.8824,18663.2647058824
BRA,1885482534238.33,1885482.53423833
VGB,,
BRN,13567351175.0315,13567.3511750315
BGR,66200847917.924,66200.84791792401
BFA,16199434624.5768,16199.4346245768
BDI,3036931818.18182,3036.93181818182
CPV,1966983316.32593,1966.9833163259302
KHM,24571753583.4922,24571.7535834922
CMR,38694095650.9763,38694.095650976305
CAN,1716262621082.22,1716262.62108222
CYM,5485419416.77667,5485.41941677667
CAF,2220978978.17342,2220.97897817342
TCD,11239167048.4916,11239.1670484916
CHI,,
CHL,298258019275.049,298258.01927504904
CHN,13894817110036.3,13894817.1100363
COL,333568926392.586,333568.92639258597
COM,1178530757.72328,1178.53075772328
COD,46831342212.5473,46831.3422125473
COG,11662700148.0791,11662.7001480791
CRI,60553901420.085,60553.901420085
CIV,57724731364.7669,57724.7313647669
HRV,60991399904.4434,60991.399904443395
CUB,100023000000.0,100023.0
CUW,3127908044.69274,3127.90804469274
CYP,24961995748.701,24961.995748701
CZE,244987409830.533,244987.409830533
DNK,355675329085.952,355675.329085952
DJI,3012820409.63313,3012.82040963313
DMA,550892592.592593,550.8925925925929
DOM,85555378042.8196,85555.37804281959
ECU,107562008000.0,107562.008
EGY,250894760351.232,250894.760351232
SLV,26117400000.0,26117.4
GNQ,13278488567.3058,13278.4885673058
ERI,,
EST,30747159197.8965,30747.1591978965
SWZ,4710618470.04358,4710.61847004358
ETH,84269348327.3454,84269.3483273454
FRO,,
FJI,5536759653.15704,5536.75965315704
FIN,275893681355.892,275893.68135589204
FRA,2787863958885.49,2787863.9588854904
PYF,,
GAB,16862282413.8778,16862.2824138778
GMB,1624600882.32255,1624.60088232255
GEO,17599700090.762,17599.700090762002
DEU,3949548833952.94,3949548.83395294
GHA,65556464048.1539,65556.4640481539
GIB,,
GRC,218138367444.99,218138.36744499
GRL,3051626389.63671,3051.62638963671
GRD,1168696296.2963,1168.6962962963
GUM,5920000000.0,5920.0
GTM,73118147808.2775,73118.1478082775
GIN,12207116729.0778,12207.116729077801
GNB,1458156026.13413,1458.15602613413
GUY,3878662620.77146,3878.66262077146
HTI,9658721169.63284,9658.72116963284
HND,24024189735.8876,24024.1897358876
HKG,361693053517.893,361693.053517893
HUN,157882912778.254,157882.912778254
ISL,25737594324.9454,25737.5943249454
IND,2713165057513.35,2713165.05751335
IDN,1042240309412.58,1042240.30941258
IRN,,
IRQ,224228010477.919,224228.01047791902
IRL,382674360766.341,382674.360766341
IMN,,
ISR,370587977153.583,370587.977153583
ITA,2085764300862.27,2085764.30086227
JAM,15713908816.1463,15713.908816146299
JPN,4954806619995.19,4954806.619995191
JOR,42231295774.6479,42231.2957746479
KAZ,179339994859.384,179339.994859384
KEN,87778582964.1388,87778.5829641388
KIR,196737895.995218,196.737895995218
PRK,,
KOR,1720578827805.54,1720578.82780554
XKX,7942961738.30893,7942.961738308931
KWT,140645364238.411,140645.364238411
KGZ,8271108638.39931,8271.10863839931
LAO,17953786416.1431,17953.786416143103
LVA,34313873284.5882,34313.8732845882
LBN,54961275741.5589,54961.2757415589
LSO,2575892261.32457,2575.89226132457
LBR,3264000000.0,3264.0
LBY,52607888717.9487,52607.8887179487
LIE,,
LTU,53455170033.5194,53455.170033519404
LUX,70919958015.5247,70919.95801552471
MAC,55084050789.7182,55084.0507897182
MDG,13853433947.6241,13853.4339476241
MWI,6917301908.62757,6917.30190862757
MYS,358581943446.259,358581.94344625896
MDV,5327457149.72581,5327.45714972581
MLI,17172022684.31,17172.02268431
MLT,14603581712.3288,14603.5817123288
MHL,221278000.0,221.278
MRT,7049169770.86399,7049.1697708639895
MUS,14181803715.4038,14181.8037154038
MEX,1220699479845.98,1220699.47984598
FSM,401932300.0,401.9323
MDA,11457410264.1932,11457.410264193199
MCO,7188238072.74445,7188.23807274445
MNG,13108769495.7425,13108.769495742501
MNE,5506766650.92111,5506.76665092111
MAR,117921394402.361,117921.394402361
MOZ,14717223206.9,14717.2232069
MMR,76168043981.5932,76168.0439815932
NAM,13454211124.4607,13454.211124460699
NRU,124021393.690412,124.021393690412
NPL,29173513475.5597,29173.5134755597
NLD,914104847814.117,914104.847814117
NCL,,
NZL,207920613961.749,207920.61396174898
NIC,13063873077.8495,13063.873077849501
NER,12826750567.1859,12826.7505671859
NGA,398160403206.519,398160.40320651897
MKD,12628854800.9772,12628.8548009772
MNP,1323000000.0,1323.0
NOR,434166615431.909,434166.615431909
OMN,79275422626.788,79275.422626788
PAK,314567541558.339,314567.54155833897
PLW,283994900.0,283.9949
PAN,65128200000.0,65128.2
PNG,23412495063.4985,23412.4950634985
PRY,40384691790.5685,40384.6917905685
PER,222044970486.217,222044.970486217
PHL,346841896889.553,346841.896889553
POL,587114101392.696,587114.101392696
PRT,241274628877.362,241274.628877362
PRI,100979900000.0,100979.9
QAT,191362087912.088,191362.08791208803
ROU,241626953521.413,241626.953521413
RUS,1669583089322.96,1669583.08932296
RWA,9627720629.70522,9627.72062970522
WSM,820491817.331671,820.491817331671
SMR,1637931034.48276,1637.93103448276
STP,422295934.152254,422.295934152254
SAU,786521831573.333,786521.831573333
SEN,23236007428.2582,23236.007428258203
SRB,50597289146.7041,50597.289146704104
SYC,1586008996.62616,1586.0089966261598
SLE,4085114794.22324,4085.11479422324
SGP,373217081850.534,373217.081850534
SXM,,
SVK,105820499976.721,105820.499976721
SVN,54034358544.2622,54034.3585442622
SLB,1395608475.32223,1395.60847532223
SOM,,
ZAF,368288939768.322,368288.93976832204
SSD,,
ESP,1419735245004.7,1419735.2450047
LKA,88425889592.1519,88425.8895921519
KNA,1010814814.81481,1010.81481481481
LCA,2065875074.07407,2065.87507407407
MAF,,
VCT,811300000.0,811.3
SDN,26078607538.5703,26078.6075385703
SUR,3458090452.26131,3458.09045226131
