"Foreign Direct Investment in the United States: Selected Items by Detailed Country, 2008–2019",,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,
,Direct investment position on a historical-cost basis,,,,,,,,,,,,,,,,
All countries,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,
,"2,046,662","2,069,438","2,280,044","2,433,848","2,584,708","2,727,825","2,945,795","3,354,907","3,561,808","3,786,848","4,127,175","4,458,362",,,,,
,,,,,,,,,,,,,,,,,
Canada,"168,746","188,943","192,463","205,225","214,314","222,989","273,896","323,207","344,929","395,495","442,802","495,720",,,,,
,,,,,,,,,,,,,,,,,
Europe 1,"1,477,896","1,504,727","1,659,774","1,732,316","1,836,716","1,901,471","2,004,199","2,306,254","2,448,305","2,565,251","2,794,561","2,871,431",,,,,
Austria,"4,251","4,622","4,532","4,861","5,286","5,976","6,962","7,159","10,655","13,160","12,392","13,964",,,,,
Belgium,"23,379","36,292","69,565","78,767","102,705","91,413","97,038","88,121","94,462","76,009","64,661","65,918",,,,,
Denmark,"5,537","6,806","7,772","7,470","7,732","9,913","13,322","14,509","18,920","18,617","20,654","23,870",,,,,
Finland,"7,613","5,415","4,943","5,213","6,087","6,852","4,284","6,471","6,118","6,928","14,464","14,826",,,,,
France,"141,922","158,924","189,763","197,785","214,712","197,338","202,682","233,547","255,595","266,570","268,169","282,226",,,,,
,,,,,,,,,,,,,,,,,
Germany,"173,843","183,966","203,077","213,601","197,438","213,256","251,009","281,295","277,209","298,754","328,124","372,879",,,,,
Ireland,"21,270","21,044","24,097","22,448","17,801","18,981","26,431","55,861","102,251","157,846","265,004","225,517",,,,,
Italy,"19,466","18,567","20,142","21,133","22,151","24,899","23,508","27,709","30,072","29,450","30,749","32,811",,,,,
Luxembourg,"130,020","138,667","170,309","172,195","202,339","223,339","232,288","350,772","371,121","382,605","312,976","297,052",,,,,
Netherlands,"179,938","206,622","234,408","222,465","244,147","237,734","258,177","298,782","313,649","348,836","462,303","487,079",,,,,
Norway,"11,511","9,866","10,478","16,530","18,769","18,470","19,539","20,641","24,794","22,800","26,007","24,221",,,,,
,,,,,,,,,,,,,,,,,
Spain,"30,037","38,984","43,095","45,740","48,417","50,722","63,956","67,349","71,559","77,816","83,379","86,796",,,,,
Sweden,"32,578","28,941","38,780","41,591","39,216","40,848","40,142","44,961","48,372","51,286","49,546","52,683",,,,,
Switzerland,"157,121","140,819","180,642","198,050","199,125","220,349","245,188","241,008","267,657","274,721","295,783","300,393",,,,,
United Kingdom,"447,529","414,590","400,435","446,077","485,785","510,795","479,373","522,954","505,190","487,570","496,622","505,088",,,,,
Other,"91,878","90,601","57,737","38,390","25,006","30,586","40,300","45,114","50,681","52,282","63,726","86,106",,,,,
Albania,0,0,0,0,(*),0,(*),(*),1,0,(*),0,,,,,
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Armenia,0,0,0,0,1,1,2,2,2,3,3,3,,,,,
Azerbaijan,(D),-22,-17,(D),(D),-40,(D),(D),(D),-7,-2,-2,,,,,
Belarus,1,-1,-2,-2,-3,-4,2,2,2,4,4,4,,,,,
Bosnia and Herzegovina,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),,,,,
Bulgaria,(*),(*),1,(*),(*),(D),-4,(D),(D),30,(D),(D),,,,,
Croatia,2,(D),6,(D),-12,(D),(D),(D),(D),20,19,(D),,,,,
Cyprus,(D),(D),(D),"2,644","2,418","2,580","2,450","2,601","1,341",(D),323,120,,,,,
Czech Republic,16,31,65,91,63,88,84,113,(D),(D),(D),(D),,,,,
Estonia,-6,-6,-6,-5,-4,-5,-5,-5,-5,(D),(D),-4,,,,,
Georgia,0,(*),0,0,0,0,0,-1,0,0,0,0,,,,,
Gibraltar,(D),(D),(D),547,737,655,"2,931","15,485","7,503","7,912","9,367","9,714",,,,,
Greece,(D),126,-41,-197,-376,612,605,638,(D),850,639,(D),,,,,
Greenland,1,1,1,1,2,2,2,2,2,2,(D),2,,,,,
Hungary,"66,302","70,715","39,266","18,362","11,080","11,952","20,269","12,124","19,381","21,932","31,730","52,360",,,,,
Iceland,"7,878","1,420",(D),"2,985",(D),(D),(D),(D),"7,110",(D),(D),(D),,,,,
Kazakhstan,(D),-21,-17,-9,-2,(D),-40,(*),-3,(*),(*),(*),,,,,
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kyrgyzstan,(*),0,0,0,0,0,0,0,0,0,0,0,,,,,
Latvia,-1,-1,(*),0,(*),(*),(D),(*),(*),(*),(D),(D),,,,,
Liechtenstein,458,472,541,568,637,(D),(D),(D),838,(D),(D),(D),,,,,
Lithuania,-4,-9,-2,-4,-3,(D),(D),(D),(D),(D),-4,(D),,,,,
Malta,-6,(*),1,(D),(D),(D),964,689,"1,286","1,576","1,557","2,040",,,,,
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Monaco,(*),-7,-1,(*),1,1,2,2,(D),-27,-26,2,,,,,
Montenegro,0,0,0,0,0,0,0,0,0,0,(*),(*),,,,,
North Macedonia,(*),0,0,0,-1,0,-1,1,0,0,-1,-1,,,,,
Poland,(D),(D),"4,386","6,457",(D),"1,229",(D),"1,504",(D),(D),(D),(D),,,,,
Portugal,53,129,204,391,407,761,805,942,931,"1,101","1,056","1,100",,,,,
Romania,(D),(D),-55,21,(D),69,60,85,(D),(D),3,-38,,,,,
Russia,"7,917","8,416","5,689","6,025","6,077","6,354","4,729","4,360","4,472","4,355","4,455","4,371",,,,,
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Serbia,-1,-1,(*),0,-2,(*),2,4,2,7,3,-5,,,,,
Slovakia,(*),-3,4,4,17,13,1,(D),18,10,14,-10,,,,,
Slovenia,(D),(D),(D),(D),(D),(D),(D),(D),(D),8,6,5,,,,,
Tajikistan,0,0,0,0,0,0,0,0,(*),0,0,0,,,,,
Turkey,(D),786,749,476,(D),649,624,"1,389","1,663","1,919","2,175","2,340",,,,,
Turkmenistan,2,(*),-1,-2,(D),(D),-9,-3,-3,0,0,0,,,,,
Ukraine,-3,-5,-3,(*),(*),-6,-5,6,4,11,-3,(*),,,,,
Uzbekistan,-1,-2,0,0,(*),(*),(*),(*),(*),(*),(*),(*),,,,,
Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,
Latin America and Other Western Hemisphere,"56,538","32,961","62,130","78,310","83,525","100,482","117,051","123,846","120,051","119,119","153,638","193,786",,,,,
,,,,,,,,,,,,,,,,,
South and Central America,"13,581","14,583","17,943","24,783","23,754","25,036","25,083","25,261","26,235","28,704","32,025","35,072",,,,,
Brazil,16,"-1,430","1,357","5,077","3,562","1,891","1,444",142,"1,020",977,"2,514","4,617",,,,,
Mexico,"8,420","11,111","10,970","12,500","12,751","15,869","15,198","15,262","17,426","20,693","21,050","21,526",,,,,
Panama,916,"1,101",952,"1,135","1,218","1,527","2,350","2,592","2,749","2,466","2,789","2,965",,,,,
Venezuela,"2,402","2,612","3,122","3,898","4,393","3,881","3,926","4,186","1,563","1,603","1,673","1,705",,,,,
Other,"1,827","1,191","1,543","2,173","1,830","1,868","2,166","3,080","3,476","2,965","4,000","4,259",,,,,
Argentina,435,118,464,268,170,106,898,853,870,"1,028",822,561,,,,,
Belize,(D),8,(D),(D),(D),14,13,(D),13,12,12,12,,,,,
Bolivia,4,3,2,11,-17,(D),(D),-16,(D),1,(D),-2,,,,,
Chile,331,301,391,354,673,753,837,"1,948","2,070","1,861","2,573","2,851",,,,,
Colombia,834,256,382,935,775,659,-211,-96,-22,-26,140,174,,,,,
Costa Rica,-34,-47,-48,-78,-112,-62,-104,-84,-2,-137,-211,-199,,,,,
Ecuador,-6,29,77,66,40,9,(*),1,-4,27,30,48,,,,,
El Salvador,-11,-13,-15,-12,-14,-13,-24,-18,-17,-7,16,26,,,,,
French Guiana,0,0,0,(D),0,(D),-5,-5,-5,0,0,0,,,,,
Guatemala,-20,-61,-11,-19,-6,-12,-22,-15,2,(*),-9,9,,,,,
Guyana,0,0,0,-2,-2,(D),(*),(D),(*),(*),(D),1,,,,,
Honduras,-7,-32,7,-22,-35,-21,-19,-16,1,-52,-80,-84,,,,,
Nicaragua,(D),-1,(D),1,(D),53,27,(D),6,7,-8,-17,,,,,
Paraguay,-3,-5,-2,-1,-2,-3,(D),-3,-3,(D),-9,(D),,,,,
Peru,39,112,182,238,118,160,119,117,143,177,195,209,,,,,
Suriname,6,7,7,(D),(*),(*),(*),0,(D),(D),-7,(D),,,,,
Uruguay,238,514,168,426,338,289,691,393,460,84,538,686,,,,,
,,,,,,,,,,,,,,,,,
Other Western Hemisphere,"42,957","18,377","44,187","53,527","59,772","75,446","91,967","98,585","93,817","90,415","121,613","158,714",,,,,
Bahamas,236,694,"1,753",443,635,643,813,794,262,513,646,"1,089",,,,,
Bermuda,"13,703","-7,646",365,"-8,818","-13,030","-8,486",993,"-7,323","6,982","-3,280","28,018","56,279",,,,,
Curacao 2,--,--,--,"2,604","4,470","4,344","1,982","1,630","1,486","1,312","1,335","1,182",,,,,
Netherlands Antilles 3,"6,351","6,513","2,819",--,--,--,--,--,--,--,--,--,,,,,
"United Kingdom Islands, Caribbean  4","27,799","21,227","38,477","57,345","66,000","78,228","87,344","101,725","79,690","82,247","83,555","90,554",,,,,
Other,"-5,132","-2,410",772,"1,952","1,697",717,834,"1,759","5,398","9,624","8,058","9,609",,,,,
Anguilla,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),,,,,
Antigua and Barbuda,3,3,3,3,4,(D),3,3,3,3,3,3,,,,,
Aruba,(D),-6,-8,-10,-5,-4,(D),2,1,8,6,(D),,,,,
Barbados,"-5,242","-2,505",706,"1,387","1,131",316,301,"1,341","5,105","9,053","7,476","9,077",,,,,
